,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z
57.977768,0.753610482382,-0.281060695823,0.122124730509,-0.0371188955828,0.999253604819,0.00175664555455,0.0105436341747,1.44400008321,-0.859999991953,-0.556000089645,0.00250000006054,0.0424999985844,0.0639999993145
58.0803321026,0.7579059254,-0.280209422664,0.125495085243,-0.0350750033386,0.999268211716,0.00408865225339,0.0146981438301,-0.395999994874,-1.10499999672,-0.0509999752045,0.0140000004321,0.0170000009239,0.0680000036955
58.1828962051,0.76054619222,-0.281316854969,0.12831731474,-0.0333706732449,0.999292412477,0.00433395470202,0.0168002638278,0.264000016451,-1.82499990612,-0.130999898911,0.035000000149,0.0299999993294,0.0520000010729
58.2854603077,0.761441567707,-0.283002517986,0.129747005953,-0.0323593210807,0.999310839553,0.00552351753513,0.0173228462538,0.578999999165,-2.00499997288,0.953999900817,0.00400000018998,0.0504999998957,0.0470000002533
58.3880244103,0.763934066113,-0.286316055665,0.1321331304,-0.0280654786515,0.999388795082,0.00678935864684,0.0197005447116,1.18900002837,-0.00499997288,1.11399998665,-0.00250000017695,0.0565000008792,0.0464999992401
58.4905885128,0.764396279125,-0.289576620126,0.133079156146,-0.0257087464857,0.999445171259,0.00643046514175,0.0201595641275,0.564000028372,-1.18499998003,0.578999900818,0.0320000015199,0.026999999769,0.0430000014603
58.5931526154,0.764264092544,-0.293996514893,0.133513368719,-0.0228045557723,0.999516205472,0.00631306500644,0.0201840561801,1.45399995446,-1.67500004917,1.05900015831,0.00200000009499,0.0379999987781,0.0619999989867
58.6957167179,0.762848398154,-0.297145843712,0.132715596744,-0.0206706703701,0.999602476784,0.00546463751109,0.0183759450341,0.654000002146,-1.86999998241,0.349000120163,-0.00150000001304,0.0530000012368,0.0724999979139
58.7982808205,0.761358599203,-0.296563192532,0.132672953124,-0.0213642250114,0.999625288748,0.00511940010653,0.016324666813,1.50400002598,-1.58500001579,0.538999938965,0.00599999981932,0.0550000015646,0.0720000006258
58.9008449231,0.762244520109,-0.296717869071,0.132816595012,-0.0211419213189,0.999614508691,0.00478013034879,0.0173234967974,1.68399997353,-2.06499991566,0.449000024795,-0.00600000005215,0.0525000002235,0.089999999851
59.0034090256,0.762073745255,-0.296487708068,0.133109996707,-0.0209747855971,0.999619675096,0.00474332981623,0.0172596257893,1.97900004983,-0.564999975264,0.0689999103546,-0.01600000076,0.0479999985546,0.0520000010728
59.1059731282,0.761878712212,-0.295037443315,0.132601754691,-0.0219943408895,0.999599847229,0.00543942595116,0.0169340668435,3.15400000215,-0.585000015795,0.148999834061,-0.00800000037998,0.0469999983907,0.0250000003725
