time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/11/15/15:43:31.164297,250258,1510731828,318428264,
2017/11/15/15:43:31.205751,250260,1510731828,338424261,
2017/11/15/15:43:31.211277,250262,1510731828,358428596,
2017/11/15/15:43:31.243526,250264,1510731828,378420468,
2017/11/15/15:43:31.247387,250266,1510731828,398428522,
2017/11/15/15:43:50.618157,252204,1510731847,778275646,
2017/11/15/15:43:50.657003,252206,1510731847,798280239,
2017/11/15/15:43:50.661711,252208,1510731847,818274980,
2017/11/15/15:43:50.697721,252210,1510731847,838274918,
2017/11/15/15:44:10.297079,254170,1510731867,437791087,
2017/11/15/15:44:10.302420,254172,1510731867,457794370,
2017/11/15/15:44:10.341113,254174,1510731867,477808306,
2017/11/15/15:44:10.344681,254176,1510731867,497791015,
2017/11/15/15:44:29.745356,256114,1510731886,877810391,
2017/11/15/15:44:29.747592,256116,1510731886,897803619,
2017/11/15/15:44:29.784359,256118,1510731886,917803980,
2017/11/15/15:44:29.788395,256120,1510731886,937807734,
2017/11/15/15:44:29.792269,256122,1510731886,957809481,
2017/11/15/15:44:29.805702,256124,1510731886,977811781,
2017/11/15/15:44:49.405005,258080,1510731906,537667725,
2017/11/15/15:44:49.408657,258082,1510731906,557645452,
2017/11/15/15:44:49.443137,258084,1510731906,577646036,
2017/11/15/15:44:49.446984,258086,1510731906,597644916,
2017/11/15/15:44:49.452993,258088,1510731906,617645197,
2017/11/15/15:44:49.464920,258090,1510731906,637644394,
2017/11/15/15:44:49.516267,258092,1510731906,657648415,
2017/11/15/15:45:09.057292,260046,1510731926,198507784,
2017/11/15/15:45:09.061486,260048,1510731926,218508756,
2017/11/15/15:45:09.066500,260050,1510731926,238514563,
2017/11/15/15:45:09.085308,260052,1510731926,258525343,
2017/11/15/15:45:28.708756,262012,1510731945,858031246,
2017/11/15/15:45:28.714295,262014,1510731945,878047027,
2017/11/15/15:45:28.755827,262016,1510731945,898027469,
2017/11/15/15:45:28.760324,262018,1510731945,918034409,
2017/11/15/15:45:28.796474,262020,1510731945,938032167,
2017/11/15/15:45:28.803857,262022,1510731945,958031586,
2017/11/15/15:45:48.286472,263972,1510731965,457710222,
2017/11/15/15:45:48.323792,263974,1510731965,477710779,
2017/11/15/15:45:48.364341,263976,1510731965,497709539,
2017/11/15/15:45:48.368093,263978,1510731965,517713552,
2017/11/15/15:46:07.925117,265936,1510731985,98411358,
2017/11/15/15:46:07.963480,265938,1510731985,118411033,
2017/11/15/15:46:08.006704,265940,1510731985,138411058,
2017/11/15/15:46:08.011104,265942,1510731985,158411870,
2017/11/15/15:46:27.445941,267888,1510732004,618350202,
2017/11/15/15:46:27.484365,267890,1510732004,638350261,
2017/11/15/15:46:27.524444,267892,1510732004,658375047,
