time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/11/15/15:34:47.363991,197880,1510731304,518502299,
2017/11/15/15:34:47.369148,197882,1510731304,538497682,
2017/11/15/15:34:47.404346,197884,1510731304,558509639,
2017/11/15/15:34:47.409218,197886,1510731304,578498417,
2017/11/15/15:35:06.815754,199822,1510731323,958037566,
2017/11/15/15:35:06.819313,199824,1510731323,978043116,
2017/11/15/15:35:06.857252,199826,1510731323,998039426,
2017/11/15/15:35:06.860590,199828,1510731324,18035500,
2017/11/15/15:35:06.865246,199830,1510731324,38037733,
2017/11/15/15:35:06.904020,199832,1510731324,58030282,
2017/11/15/15:35:26.256047,201766,1510731343,398065640,
2017/11/15/15:35:26.259429,201768,1510731343,418093597,
2017/11/15/15:35:26.296919,201770,1510731343,438064291,
2017/11/15/15:35:26.300724,201772,1510731343,458065128,
2017/11/15/15:35:45.718319,203712,1510731362,857931935,
2017/11/15/15:35:45.722343,203714,1510731362,877931169,
2017/11/15/15:35:45.726279,203716,1510731362,897925746,
2017/11/15/15:35:45.745356,203718,1510731362,917932312,
2017/11/15/15:35:45.765051,203720,1510731362,937933758,
2017/11/15/15:35:45.803608,203722,1510731362,957928676,
2017/11/15/15:35:45.844098,203724,1510731362,977964417,
2017/11/15/15:35:45.848159,203726,1510731362,997930371,
2017/11/15/15:35:45.884591,203728,1510731363,17939915,
2017/11/15/15:36:05.384618,205678,1510731382,517836439,
2017/11/15/15:36:05.388125,205680,1510731382,537839471,
2017/11/15/15:36:05.423975,205682,1510731382,557836945,
2017/11/15/15:36:05.428063,205684,1510731382,577847932,
2017/11/15/15:36:05.431674,205686,1510731382,597834629,
2017/11/15/15:36:05.446332,205688,1510731382,617834396,
2017/11/15/15:36:05.465288,205690,1510731382,637835954,
2017/11/15/15:36:24.818914,207624,1510731401,978013310,
2017/11/15/15:36:24.856461,207626,1510731401,998015528,
2017/11/15/15:36:24.860209,207628,1510731402,18011101,
2017/11/15/15:36:44.306019,209570,1510731421,437764268,
2017/11/15/15:36:44.310675,209572,1510731421,457760697,
2017/11/15/15:36:44.345055,209574,1510731421,477759652,
2017/11/15/15:36:44.348951,209576,1510731421,497758142,
2017/11/15/15:36:44.387365,209578,1510731421,517756377,
2017/11/15/15:36:44.392022,209580,1510731421,537754613,
2017/11/15/15:36:44.395916,209582,1510731421,557760210,
2017/11/15/15:36:44.405475,209584,1510731421,577754417,
2017/11/15/15:37:03.724551,211516,1510731440,898342738,
2017/11/15/15:37:03.764652,211518,1510731440,918344622,
2017/11/15/15:37:23.215538,213462,1510731460,357797883,
2017/11/15/15:37:23.219252,213464,1510731460,377800973,
2017/11/15/15:37:23.256669,213466,1510731460,397797171,
2017/11/15/15:37:23.260577,213468,1510731460,417802938,
2017/11/15/15:37:23.297132,213470,1510731460,437799185,
2017/11/15/15:37:42.683890,215410,1510731479,838491026,
2017/11/15/15:37:42.724329,215412,1510731479,858495628,
2017/11/15/15:37:42.728367,215414,1510731479,878497702,
2017/11/15/15:37:42.765440,215416,1510731479,898494833,
2017/11/15/15:37:42.770958,215418,1510731479,918497121,
