time,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z
3.091868,0.763192205189,-0.290049083299,0.0650666073045,-0.0253504332614,0.999464544308,0.0062230526575,0.01972951646,0.0260000526905,1.12200003266,-0.662999629974,0.00999999977648,0.0149999996647,0.0410000011325
3.091899,0.762848629434,-0.290505749706,0.0644383841288,-0.0248431061447,0.999485252368,0.00619232313701,0.0193314642409,0.125999957323,1.58200000376,-0.763000011444,0.019999999553,0.0340000018477,0.0430000014603
3.091915,0.763590845758,-0.29039503635,0.0650498061376,-0.0249726604137,0.999458965435,0.00625834912988,0.0204688961596,0.696000128984,2.04199998975,-0.773000240326,0.0280000008643,0.0460000000894,0.0469999983907
3.091945,0.763481559317,-0.290610853668,0.064577341043,-0.0247759249765,0.999467067162,0.00633807957017,0.0202870389216,0.696000128984,1.27200000882,-0.59299993515,0.0299999993294,0.0399999991059,0.0460000000894
3.093828,0.763353493501,-0.29122380061,0.0643217215554,-0.0248957392306,0.999466801825,0.00584810750845,0.0203005875825,-0.213999956846,1.20200001597,-0.462999820709,0.0120000001043,0.0219999998808,0.0419999994338
3.102747,0.764085349447,-0.290401830416,0.0640197609243,-0.0248269230282,0.999453967224,0.00629994032301,0.0208734770628,-1.393999964,1.49200000763,-0.532999515533,0.00800000037998,0.0170000009239,0.0390000008047
3.113053,0.763684743652,-0.290297303498,0.0632934976438,-0.0248854971499,0.999457403047,0.00673406866348,0.0205003376702,-1.74399997294,0.352000051737,-0.462999820709,0.00499999988824,0.00400000018999,0.0500000007451
3.12371,0.763875889383,-0.290027177459,0.0633208562458,-0.0250129153572,0.999451049368,0.00653227373417,0.0207191549552,-0.873999923468,-0.298000043631,-0.313000202179,0.0189999993891,0.0,0.0540000014007
3.133054,0.764005112585,-0.291159219301,0.0627851600577,-0.024854523521,0.999455211474,0.00606589893151,0.0208503666178,-0.44399997592,0.0920000612736,-0.263000011444,0.0250000003725,0.0130000002682,0.0489999987185
3.143193,0.764060752608,-0.290160635666,0.0625668503558,-0.0251473462823,0.999441320782,0.00639924814269,0.0210643516686,-0.463999956846,-0.198000019789,-0.353000164032,0.0219999998808,0.0320000015199,0.054999999702
3.179814,0.763773580146,-0.289387137891,0.0620029732664,-0.0252229218451,0.999438941481,0.00689976609172,0.0209284421762,-0.91400000453,-0.10799998641,-0.563000202179,0.019999999553,0.0379999987781,0.0710000023246
3.179858,0.763291709993,-0.291011021198,0.0611739160048,-0.0245896310584,0.999468147493,0.00632585959291,0.020463521014,-0.88400003314,0.721999996901,-0.572999477386,0.0149999996647,0.0370000004768,0.0659999996424
3.1799,0.763291709993,-0.291011021198,0.0611739160048,-0.0245896310584,0.999468147493,0.00632585959291,0.020463521014,-0.493999928236,1.74200000763,-0.322999477386,0.00800000037998,0.019999999553,0.0469999983907
3.219852,0.764573924938,-0.291131089143,0.0611005908253,-0.0244494475988,0.999445059422,0.00610568404793,0.0217834416625,-1.10400000215,1.90200000405,-0.0729994773865,0.019999999553,0.00300000002608,0.0289999991655
3.219895,0.763507580777,-0.290492028335,0.0601312654912,-0.0250225409336,0.999456747102,0.00636539800664,0.0204832816134,-1.27399995923,1.01200001836,-0.0230002403259,0.01600000076,0.00200000009499,0.0250000003725
3.219912,0.763623183787,-0.289927371459,0.0597930468563,-0.0248135515474,0.999459232954,0.00678537578252,0.020481406155,-0.593999952078,0.692000025511,-0.44300031662,0.00700000021607,0.00999999977648,0.0370000004768
3.220079,0.764627316561,-0.291237935111,0.060618228471,-0.0245316430622,0.999448662584,0.0059156316948,0.0215771789073,-0.543999999762,1.24200000763,-0.813000202179,0.019999999553,0.019999999553,0.0419999994338
3.259835,0.76372317598,-0.290529143411,0.0594114331764,-0.0251497923485,0.999450834281,0.0062058699914,0.0206640987605,-0.823999971151,1.82200000584,-0.763000011444,0.0140000004321,0.0250000003725,0.0430000014603
3.259896,0.764461663244,-0.290264229609,0.0597008269105,-0.0250981154931,0.999430804065,0.00630573581422,0.0216423238194,-0.613999933004,1.94199999571,-0.563000202179,0.0149999996647,0.0309999994934,0.0390000008047
3.259914,0.764603363051,-0.291030834648,0.0591769459858,-0.0246124411848,0.99944600747,0.00603334238852,0.0215755572343,-0.404000014067,1.64200000428,-0.572999477386,0.0140000004321,0.0329999998212,0.0370000004768
3.260143,0.764286879558,-0.291507643705,0.0591412769218,-0.0247017577821,0.999445883697,0.00565581578208,0.021581484472,-0.563999980688,1.17200001478,-0.473000049591,0.00800000037998,0.0240000002086,0.0439999997616
