,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z
28.336120614,0.763993034182,-0.289819516088,-4.27401724528e-05,-0.0287776938816,0.999375293462,0.00128123991831,0.0204731008236,-2.13500002623,-1.46999995709,-7.62800002098,0.148400005698,0.343199998141,0.0575999997556
28.3461456767,0.764076380938,-0.289926854431,7.1799641908e-06,-0.0287779162602,0.9993729612,0.00127493415177,0.0205867137363,-2.11100002527,-1.48799993992,-7.72200000286,0.151600006223,0.339800000191,0.056400000304
28.3561707393,0.764159727693,-0.290034192773,5.71001008344e-05,-0.0287781386387,0.999370628937,0.00126862838523,0.0207003266491,-2.08700002432,-1.50599992276,-7.81599998474,0.154800006747,0.336400002242,0.0552000008523
28.366195802,0.764399721736,-0.289060048758,0.0004548158761,-0.0293895052883,0.999350015349,0.00119116686145,0.0208404923446,-0.649000012875,-1.15400002003,-7.83000001908,0.155400002003,0.350799995661,0.0307999998331
28.3762208647,0.764422239619,-0.289217524419,0.000456102729095,-0.0292745290019,0.999352572902,0.00119235925414,0.0208788664664,-0.715000021458,-1.18399999142,-7.80000002385,0.154800000787,0.351599997282,0.0316000003367
28.3862459273,0.764444757502,-0.289375000081,0.000457389582091,-0.0291595527156,0.999355130454,0.00119355164684,0.0209172405883,-0.781000030041,-1.21399996281,-7.77000002861,0.154199999571,0.352399998904,0.0324000008404
28.39627099,0.764467275385,-0.289532475742,0.000458676435086,-0.0290445764292,0.999357688007,0.00119474403953,0.0209556147101,-0.847000038624,-1.2439999342,-7.74000003338,0.153599998355,0.353200000525,0.033200001344
28.4062960526,0.764109041035,-0.289561920036,0.000561226457132,-0.0289948265317,0.999364933634,0.00133822794556,0.0206671013451,-1.39800000191,-1.17400000096,-7.55999994278,0.130000002683,0.360499992967,0.0775000005961
28.4163211153,0.764067228153,-0.289032126344,0.000576720663274,-0.0294425558804,0.999353395714,0.00140177175084,0.0205894042605,-1.68299999834,-0.713999962807,-7.44000005722,0.124500002712,0.357500001788,0.070000000298
28.4263461779,0.764079105158,-0.289098033698,0.000618703612755,-0.029251416684,0.999357531565,0.0014038833946,0.0206585607756,-2.13799999655,-0.188999986648,-7.29000008106,0.116500001401,0.352500006557,0.0584999993444
28.4363712406,0.763944219404,-0.289553813418,0.000568097744242,-0.0289317690779,0.999368343949,0.00138092312669,0.0205898397418,-2.29900001287,0.022000002861,-7.14200005531,0.109199999273,0.347000002861,0.0522000007332
28.4463963033,0.763927139727,-0.289557624543,0.000536325639622,-0.0289740919193,0.999368072973,0.00135800355221,0.0205447424644,-2.24500001073,-0.0319999933242,-7.08400006294,0.108399999142,0.344999998808,0.0524000003934
28.4564213659,0.76391006005,-0.289561435667,0.000504553535003,-0.0290164147608,0.999367801998,0.00133508397774,0.0204996451871,-2.19100000858,-0.0859999895095,-7.02600007057,0.10759999901,0.342999994755,0.0526000000537
28.4664464286,0.763892980373,-0.289565246792,0.000472781430383,-0.0290587376022,0.999367531022,0.00131216440326,0.0204545479097,-2.13700000644,-0.139999985695,-6.9680000782,0.106799998879,0.340999990702,0.0527999997139
28.4764714912,0.764443453765,-0.289197799119,0.00082009570929,-0.0292875818482,0.999348544227,0.00144613705573,0.0210344198175,-1.80900002718,-0.987999939918,-6.58399991989,0.0977999985218,0.330800008774,0.0516000010073
28.4864965539,0.764580417765,-0.289356418421,0.000996414086118,-0.0292578065626,0.999345853228,0.00132242955057,0.0212089064613,-1.74500002861,-1.00199992657,-6.55799994469,0.0975999996066,0.331600004435,0.0512000009418
28.4965216165,0.764717381766,-0.289515037723,0.00117273246295,-0.0292280312771,0.99934316223,0.00119872204541,0.021383393105,-1.68100003004,-1.01599991321,-6.53199996948,0.0974000006914,0.332400000095,0.0508000008762
28.5065466792,0.764854345766,-0.289673657025,0.00134905083977,-0.0291982559915,0.999340471231,0.00107501454025,0.0215578797488,-1.61700003147,-1.02999989986,-6.50599999428,0.0972000017762,0.333199995756,0.0504000008107
28.5165717419,0.764305415994,-0.289618533048,0.000869619037239,-0.0290809839716,0.999358163561,0.00119707224535,0.0208796791518,-2.14700001478,-0.603999876976,-6.19800004959,0.0909999981523,0.349599993229,0.0414000000805
28.5265968045,0.764157799196,-0.289716430815,0.000626860293169,-0.0291211246783,0.99936067398,0.00110168461678,0.0207061517729,-2.22100001574,-0.403999876976,-6.20600004196,0.0909999981523,0.349199992418,0.0368000000715
28.5366218672,0.764010182397,-0.289814328581,0.000384101549098,-0.0291612653849,0.9993631844,0.00100629698822,0.0205326243941,-2.29500001669,-0.203999876976,-6.21400003433,0.0909999981523,0.348799991608,0.0322000000626
28.5466469298,0.763862565599,-0.289912226348,0.000141342805028,-0.0292014060916,0.999365694819,0.000910909359655,0.0203590970152,-2.36900001765,-0.003999876976,-6.2220000267,0.0909999981523,0.348399990797,0.0276000000536
28.5566719925,0.76392666465,-0.28926225057,0.000362938905639,-0.0292380635053,0.99936204047,0.00130550874133,0.0204624822539,-2.0530000031,-0.828999972346,-6.84500002861,0.118999999016,0.346499994397,0.0214999997988
28.5666970551,0.76399966346,-0.289240894455,0.000615816215919,-0.0294432570325,0.999353860199,0.00138769418146,0.0205636982777,-2.53800000251,-1.54399994612,-6.82499992848,0.122999999672,0.347000002861,0.0245000002906
28.5767221178,0.764183966716,-0.289300732763,0.000910851801643,-0.0292319351298,0.999356412992,0.0013276389718,0.0207464524541,-2.96800000965,-1.87899998427,-6.84999990463,0.127499997616,0.347000002861,0.026999999769
28.5867471805,0.763933846474,-0.289574482138,0.000594199666876,-0.0291518692795,0.999364752636,0.0010782507598,0.0204707702046,-3.12800000608,-1.50899991989,-6.81999993325,0.129999995232,0.344500005245,0.0279999999329
28.5967722431,0.764069821145,-0.289786442863,0.000734644919163,-0.0288773243086,0.999368397291,0.00120478159226,0.0206702736343,-2.59300000966,-0.598999953268,-6.7649999857,0.12349999696,0.340499997139,0.0250000003725
