time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/11/15/15:38:58.639275,223006,1510731555,798104781,
2017/11/15/15:38:58.677169,223008,1510731555,818103049,
2017/11/15/15:38:58.683328,223010,1510731555,838107823,
2017/11/15/15:39:18.187127,224960,1510731575,337620576,
2017/11/15/15:39:18.224589,224962,1510731575,357622417,
2017/11/15/15:39:18.228402,224964,1510731575,377625076,
2017/11/15/15:39:18.264900,224966,1510731575,397622375,
2017/11/15/15:39:18.269565,224968,1510731575,417624728,
2017/11/15/15:39:37.669721,226910,1510731594,837927353,
2017/11/15/15:39:37.716831,226912,1510731594,857915316,
2017/11/15/15:39:37.720767,226914,1510731594,877915579,
2017/11/15/15:39:57.126224,228856,1510731614,297575685,
2017/11/15/15:39:57.146428,228858,1510731614,317578346,
2017/11/15/15:39:57.183294,228860,1510731614,337575219,
2017/11/15/15:39:57.223814,228862,1510731614,357575941,
2017/11/15/15:39:57.227439,228864,1510731614,377576373,
2017/11/15/15:39:57.264793,228866,1510731614,397586201,
2017/11/15/15:40:16.826212,230824,1510731633,978143566,
2017/11/15/15:40:16.864774,230826,1510731633,998142311,
2017/11/15/15:40:16.869870,230828,1510731634,18144373,
2017/11/15/15:40:16.904459,230830,1510731634,38143847,
2017/11/15/15:40:36.315703,232772,1510731653,457757816,
2017/11/15/15:40:36.319046,232774,1510731653,477757576,
2017/11/15/15:40:36.356176,232776,1510731653,497759919,
2017/11/15/15:40:36.360781,232778,1510731653,517758364,
2017/11/15/15:40:36.396443,232780,1510731653,537756214,
2017/11/15/15:40:55.858369,234728,1510731673,18487297,
2017/11/15/15:40:55.896564,234730,1510731673,38486250,
2017/11/15/15:40:55.901762,234732,1510731673,58486243,
2017/11/15/15:40:55.935766,234734,1510731673,78489258,
2017/11/15/15:40:55.939212,234736,1510731673,98481505,
2017/11/15/15:41:15.541281,236696,1510731692,697757632,
2017/11/15/15:41:15.546257,236698,1510731692,717740386,
2017/11/15/15:41:15.566513,236700,1510731692,737743847,
2017/11/15/15:41:35.015820,238642,1510731712,158157105,
2017/11/15/15:41:35.020358,238644,1510731712,178153968,
2017/11/15/15:41:35.057384,238646,1510731712,198156999,
2017/11/15/15:41:35.061108,238648,1510731712,218159898,
2017/11/15/15:41:35.064954,238650,1510731712,238156153,
2017/11/15/15:41:35.086125,238652,1510731712,258152160,
2017/11/15/15:41:54.476943,240588,1510731731,618401136,
2017/11/15/15:41:54.481350,240590,1510731731,638406832,
2017/11/15/15:41:54.516391,240592,1510731731,658405161,
2017/11/15/15:41:54.521800,240594,1510731731,678435996,
2017/11/15/15:41:54.527222,240596,1510731731,698406615,
2017/11/15/15:41:54.545951,240598,1510731731,718408940,
2017/11/15/15:41:54.584551,240600,1510731731,738408003,
2017/11/15/15:41:54.624833,240602,1510731731,758400181,
2017/11/15/15:41:54.629256,240604,1510731731,778433351,
