time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/11/15/15:26:35.000510,148646,1510730812,148452999,
2017/11/15/15:26:35.006037,148648,1510730812,168451675,
2017/11/15/15:26:35.040960,148650,1510730812,188450257,
2017/11/15/15:26:35.045207,148652,1510730812,208451351,
2017/11/15/15:26:54.441761,150590,1510730831,618514314,
2017/11/15/15:26:54.480599,150592,1510730831,638519472,
2017/11/15/15:26:54.520078,150594,1510730831,658520339,
2017/11/15/15:27:13.921792,152536,1510730851,77689358,
2017/11/15/15:27:13.960298,152538,1510730851,97689153,
2017/11/15/15:27:13.964558,152540,1510730851,117682676,
2017/11/15/15:27:14.001752,152542,1510730851,137686949,
2017/11/15/15:27:33.365739,154482,1510730870,538478474,
2017/11/15/15:27:33.382558,154484,1510730870,558446054,
2017/11/15/15:27:33.432594,154486,1510730870,578447225,
2017/11/15/15:27:33.437131,154488,1510730870,598447438,
2017/11/15/15:27:53.016015,156446,1510730890,177768653,
2017/11/15/15:27:53.051601,156448,1510730890,197766419,
2017/11/15/15:27:53.055743,156450,1510730890,217768855,
2017/11/15/15:27:53.093758,156452,1510730890,237768815,
2017/11/15/15:27:53.098217,156454,1510730890,257761187,
2017/11/15/15:28:12.472700,158390,1510730909,618438460,
2017/11/15/15:28:12.476911,158392,1510730909,638435429,
2017/11/15/15:28:12.513460,158394,1510730909,658436318,
2017/11/15/15:28:12.517657,158396,1510730909,678437213,
2017/11/15/15:28:12.522238,158398,1510730909,698428640,
2017/11/15/15:28:12.545063,158400,1510730909,718446621,
2017/11/15/15:28:31.926680,160338,1510730929,98242602,
2017/11/15/15:28:31.964575,160340,1510730929,118248486,
2017/11/15/15:28:31.968626,160342,1510730929,138241953,
2017/11/15/15:28:51.420360,162284,1510730948,558038789,
2017/11/15/15:28:51.424010,162286,1510730948,578033569,
2017/11/15/15:28:51.459828,162288,1510730948,598036296,
2017/11/15/15:28:51.462968,162290,1510730948,618036429,
2017/11/15/15:28:51.468000,162292,1510730948,638038035,
2017/11/15/15:28:51.511506,162294,1510730948,658034192,
2017/11/15/15:28:51.516203,162296,1510730948,678036069,
2017/11/15/15:29:10.831680,164226,1510730967,978380869,
2017/11/15/15:29:10.835768,164228,1510730967,998380967,
2017/11/15/15:29:10.872968,164230,1510730968,18376816,
2017/11/15/15:29:10.877803,164232,1510730968,38372319,
2017/11/15/15:29:10.913532,164234,1510730968,58372837,
2017/11/15/15:29:30.322834,166176,1510730987,477719434,
2017/11/15/15:29:30.360780,166178,1510730987,497693962,
2017/11/15/15:29:30.364913,166180,1510730987,517694717,
2017/11/15/15:29:30.400745,166182,1510730987,537694018,
