time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/11/15/15:51:38.117196,298950,1510732315,268188399,
2017/11/15/15:51:38.121897,298952,1510732315,288186779,
2017/11/15/15:51:38.156970,298954,1510732315,308190342,
2017/11/15/15:51:38.162201,298956,1510732315,328193419,
2017/11/15/15:51:38.169478,298958,1510732315,348190469,
2017/11/15/15:51:57.624131,300900,1510732334,758548088,
2017/11/15/15:51:57.627557,300902,1510732334,788548029,
2017/11/15/15:51:57.664361,300904,1510732334,808555321,
2017/11/15/15:51:57.668241,300906,1510732334,828549764,
2017/11/15/15:51:57.708006,300908,1510732334,838551969,
2017/11/15/15:51:57.709992,300910,1510732334,858562781,
2017/11/15/15:52:17.236159,302862,1510732354,388071657,
2017/11/15/15:52:17.240530,302864,1510732354,408074502,
2017/11/15/15:52:17.245201,302866,1510732354,428073972,
2017/11/15/15:52:17.266146,302868,1510732354,448071910,
2017/11/15/15:52:17.315782,302870,1510732354,468080178,
2017/11/15/15:52:36.663571,304806,1510732373,827955109,
2017/11/15/15:52:36.704714,304808,1510732373,847958088,
2017/11/15/15:52:36.709510,304810,1510732373,867961160,
2017/11/15/15:52:36.744498,304812,1510732373,887969728,
2017/11/15/15:52:56.078237,306746,1510732393,248413845,
2017/11/15/15:52:56.091093,306748,1510732393,268412827,
2017/11/15/15:52:56.135959,306750,1510732393,288409967,
2017/11/15/15:52:56.140317,306752,1510732393,308412539,
2017/11/15/15:52:56.175663,306754,1510732393,328417757,
2017/11/15/15:52:56.180189,306756,1510732393,348413402,
2017/11/15/15:52:56.215626,306758,1510732393,368412688,
2017/11/15/15:53:15.852701,308720,1510732412,988170631,
2017/11/15/15:53:15.856565,308722,1510732413,8172669,
2017/11/15/15:53:15.860953,308724,1510732413,28172171,
2017/11/15/15:53:15.871972,308726,1510732413,48178431,
2017/11/15/15:53:35.411217,310680,1510732432,588189449,
2017/11/15/15:53:35.451314,310682,1510732432,608187190,
2017/11/15/15:53:35.492491,310684,1510732432,628185913,
2017/11/15/15:53:54.896436,312626,1510732452,48302988,
2017/11/15/15:53:54.933207,312628,1510732452,68298751,
2017/11/15/15:53:54.938040,312630,1510732452,88297285,
2017/11/15/15:53:54.972441,312634,1510732452,128302127,
2017/11/15/15:53:54.976374,312636,1510732452,148297054,
2017/11/15/15:54:14.559884,314592,1510732471,708244631,
2017/11/15/15:54:14.563830,314594,1510732471,728247448,
2017/11/15/15:54:14.600870,314596,1510732471,748247716,
2017/11/15/15:54:14.605446,314598,1510732471,768245506,
2017/11/15/15:54:14.640373,314600,1510732471,788242692,
2017/11/15/15:54:14.645124,314602,1510732471,808246422,
2017/11/15/15:54:14.682852,314604,1510732471,828263065,
2017/11/15/15:54:14.684812,314606,1510732471,848240737,
2017/11/15/15:54:14.720750,314608,1510732471,868244775,
2017/11/15/15:54:34.192437,316556,1510732491,347824039,
2017/11/15/15:54:34.232672,316558,1510732491,367829672,
2017/11/15/15:54:34.236627,316560,1510732491,387832832,
