time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.endpoint_state.header.seq,.endpoint_state.header.stamp.secs,.endpoint_state.header.stamp.nsecs,.endpoint_state.header.frame_id,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.endpoint_state.twist.linear.x,.endpoint_state.twist.linear.y,.endpoint_state.twist.linear.z,.endpoint_state.twist.angular.x,.endpoint_state.twist.angular.y,.endpoint_state.twist.angular.z,.endpoint_state.wrench.force.x,.endpoint_state.wrench.force.y,.endpoint_state.wrench.force.z,.endpoint_state.wrench.torque.x,.endpoint_state.wrench.torque.y,.endpoint_state.wrench.torque.z,.joint_state.header.seq,.joint_state.header.stamp.secs,.joint_state.header.stamp.nsecs,.joint_state.header.frame_id,.joint_state.name,.joint_state.position,.joint_state.velocity,.joint_state.effort,.wrench_stamped.header.seq,.wrench_stamped.header.stamp.secs,.wrench_stamped.header.stamp.nsecs,.wrench_stamped.header.frame_id,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z,.tag
2017/09/18/22:10:03.949540,102623,1505743803,946651969,,837471,1505743803,946651969,,0.425163735978,-0.6455089672,0.0683498063526,0.244958311742,0.935343453598,-0.19274349951,-0.167266233042,-0.110901464136,-0.0738143999773,0.00448788031948,-0.119706952159,0.0978050690265,-0.184557914388,-0.210066378117,-0.766637980938,3.80328440666,0.379353165627,-0.0996653139591,-0.324000298977,837869,1505743803,944734684,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028378644575880154, -1.1389807350049197, 1.959660456523616, 0.007286408742455715, -0.9832816850345502, 0.6615292147755847, 1.00590790165586, -0.501228222441559, 0.0839854481367264, 1.761009944492455, 0.235466050940411, -1.015495281580144, -0.5418787133205224, 1.1581554948534873, 0.3482136388499889, -12.565987119160338)","(0.0, 0.014529866020127248, -0.024740042142378828, -0.004319689897875668, 0.0019634954081253035, 0.00039269908162506076, -0.012173671530376884, -0.022776546734253524, 0.01021017612225158, -0.11152653918151725, 0.08560839979426324, -0.05772676499888393, -0.001570796326500243, -0.09149888601863915, -0.004319689897875668, 0.11388273367126761, 0.0)","(0.0, 0.0, -9.568, -9.42, 0.56, -10.536, 0.284, 0.288, -0.212, 0.06, -10.74, -1.12, -26.524, -1.296, 1.764, 0.408, -20.48)",138436,1505743803,943541334,robotiq_force_torque_frame_id,1.09199995492,-2.10299992561,2.98999958038,-0.0419999994338,-0.0419999994338,-0.0010000000475,0
2017/09/18/22:10:03.958727,102624,1505743803,956651667,,837472,1505743803,956651667,,0.424371394894,-0.64597102971,0.0683093273645,0.246314660685,0.934939040158,-0.192801937787,-0.167467883209,-0.124879231644,-0.0521734665521,-0.00230348182214,-0.0802349160961,0.132787337091,-0.193726463212,-0.615898370743,-0.0581090450287,3.7293484211,0.0784719884396,-0.231780141592,-0.125651344657,837871,1505743803,964699512,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0279951493789088, -1.1378302494140056, 1.959660456523616, 0.007669903939427069, -0.9817477042466648, 0.6611457195786133, 1.0066748920498028, -0.502378708032473, 0.08168447695489828, 1.7625439252803403, 0.2346990605464683, -1.015495281580144, -0.5426457037144651, 1.1577719996565161, 0.3501311148348457, -12.565987119160338)","(0.0, 0.0, 0.012959069693627005, 0.03259402377488004, 0.0011780972448751821, -0.0011780972448751821, 0.0011780972448751821, 0.003141592653000486, -0.0007853981632501215, -0.10288715938576591, 0.10327985846739098, -0.054977871427508505, 0.013744467856877126, -0.05576326959075863, -0.003926990816250607, 0.08325220530451288, 0.0)","(0.0, 0.0, -9.664, -9.42, 0.464, -10.504, 0.276, 0.28, -0.204, 0.28, -10.86, -0.716, -26.524, -1.288, 1.744, 0.4, -20.48)",138437,1505743803,951757189,robotiq_force_torque_frame_id,1.17199999783,-1.16300010681,2.49999980927,-0.0460000000894,-0.0450000017881,-0.00600000005215,0
2017/09/18/22:10:03.968576,102625,1505743803,966646406,,837473,1505743803,966646406,,0.423289749385,-0.646576413109,0.0682912082523,0.24668580119,0.93461964181,-0.193375529284,-0.168042093859,-0.119015633436,-0.0492652443876,-0.0102731399044,-0.0631603382748,0.122078491957,-0.171251852839,0.491553515196,-0.421360909939,3.82884407043,0.252388060093,0.114993549883,-0.340259134769,837871,1505743803,964699512,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0279951493789088, -1.1378302494140056, 1.959660456523616, 0.007669903939427069, -0.9817477042466648, 0.6611457195786133, 1.0066748920498028, -0.502378708032473, 0.08168447695489828, 1.7625439252803403, 0.2346990605464683, -1.015495281580144, -0.5426457037144651, 1.1577719996565161, 0.3501311148348457, -12.565987119160338)","(0.0, 0.0, 0.012959069693627005, 0.03259402377488004, 0.0011780972448751821, -0.0011780972448751821, 0.0011780972448751821, 0.003141592653000486, -0.0007853981632501215, -0.10288715938576591, 0.10327985846739098, -0.054977871427508505, 0.013744467856877126, -0.05576326959075863, -0.003926990816250607, 0.08325220530451288, 0.0)","(0.0, 0.0, -9.664, -9.42, 0.464, -10.504, 0.276, 0.28, -0.204, 0.28, -10.86, -0.716, -26.524, -1.288, 1.744, 0.4, -20.48)",138438,1505743803,964070465,robotiq_force_torque_frame_id,1.34199995492,-1.14300012589,2.87999992371,-0.0370000004768,-0.0240000002086,-0.00499999988824,0
2017/09/18/22:10:03.977422,102626,1505743803,976650948,,837474,1505743803,976650948,,0.422057063363,-0.647323951496,0.0681145204428,0.247368026955,0.934335248017,-0.193480524754,-0.168499228767,-0.11515409295,-0.0668620129081,-0.0147460680179,-0.0766036844168,0.0868913911452,-0.183132632792,1.62428963184,-1.54305839539,3.92767572403,0.68993294239,0.446895241737,-0.636830329895,331127,1505743803,976000000,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",138439,1505743803,972309811,robotiq_force_torque_frame_id,1.6819999883,-0.402999997139,2.90000038147,-0.0579999983311,-0.0329999998212,-0.0170000009239,0
2017/09/18/22:10:03.988519,102627,1505743803,986651120,,837475,1505743803,986651120,,0.420582419775,-0.647663396632,0.0681526520982,0.247786768453,0.933972335174,-0.193717056723,-0.169620448191,-0.0763162174585,-0.0531071543532,-0.011715393063,-0.0681565652469,0.0364177288543,-0.105719380023,0.913060128689,-1.50049197674,3.90868473053,0.677289903164,0.197043269873,-0.568400025368,331127,1505743803,976000000,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",138440,1505743803,980580136,robotiq_force_torque_frame_id,2.00199992154,-0.84299993515,3.06999950409,-0.0480000004172,-0.0280000008643,-0.0260000005364,0
2017/09/18/22:10:03.998690,102628,1505743803,996648036,,837476,1505743803,996648036,,0.421377417832,-0.647974890243,0.067850896773,0.248271408022,0.934057214867,-0.193802618068,-0.168341832423,-0.0962401862954,-0.062302371313,-0.0053690954706,-0.0643787998251,0.0555447060628,-0.143541528507,-0.539052665234,-0.785074770451,3.96006584167,0.635394394398,-0.307229757309,-0.267431825399,837875,1505743804,4698721,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028378644575880154, -1.138213744610977, 1.959660456523616, 0.007669903939427069, -0.9825146946406075, 0.6626797003664987, 1.0070583872467742, -0.502378708032473, 0.07746602978821339, 1.7667623724470254, 0.23201459416766884, -1.015495281580144, -0.5434126941084079, 1.1570050092625732, 0.35204859081970247, -12.565987119160338)","(0.0, -0.006675884387626033, 0.004319689897875668, -0.0007853981632501215, 0.0019634954081253035, 0.01060287520387664, 0.008639379795751335, -0.02042035224450316, 0.022383847652628464, -0.10406525663064109, 0.10249446030414085, -0.06911503836601068, -0.0200276531628781, -0.03730641275438077, -0.07461282550876154, 0.0679369411211355, 0.0)","(0.0, 0.0, -9.664, -9.576, 0.436, -10.568, 0.304, 0.28, -0.196, 0.34, -10.768, -1.184, -26.432, -1.272, 1.764, 0.38, -20.48)",138441,1505743803,992884087,robotiq_force_torque_frame_id,1.48199994061,-0.792999982834,2.43000011444,-0.0460000000894,-0.0170000009239,-0.00899999961257,0
2017/09/18/22:10:04.008088,102629,1505743804,6646758,,837477,1505743804,6646758,,0.418664062333,-0.648362245468,0.067853526851,0.249677418008,0.933298693467,-0.193878816903,-0.17036942233,-0.0901611482511,-0.0594770389613,-0.00710444255842,-0.0691981714844,0.0254381866422,-0.16132853699,0.192786440253,-0.942018151283,3.89677047729,0.646964848042,-0.0521634556353,-0.348588675261,837876,1505743804,14711194,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028378644575880154, -1.1378302494140056, 1.9604274469175587, 0.007669903939427069, -0.9825146946406075, 0.661912709972556, 1.0062913968528313, -0.5016117176385303, 0.07631554419729933, 1.7682963532349107, 0.23124760377372613, -1.0151117863831725, -0.5437961893053792, 1.1547040380807452, 0.35281558121364515, -12.565987119160338)","(0.0, 0.008246680714126275, 0.013744467856877126, 0.02120575040775328, 0.00510508806112579, 0.0, 0.006283185306000972, -0.0011780972448751821, -0.0007853981632501215, -0.11231193734476737, 0.10995574285501701, -0.06479534846813502, -0.014529866020127248, -0.03887720908088101, -0.03534291734625546, 0.06008295948863429, 0.0)","(0.0, 0.0, -9.6, -9.64, 0.404, -10.536, 0.296, 0.28, -0.204, 0.124, -11.128, -0.776, -26.404, -1.288, 1.764, 0.408, -20.48)",138442,1505743804,1120838,robotiq_force_torque_frame_id,2.17199999783,-1.78299999237,2.60000019073,-0.019999999553,-0.0120000001043,0.00400000018999,0
2017/09/18/22:10:04.018489,102630,1505743804,16652856,,837478,1505743804,16652856,,0.417809527078,-0.648922856641,0.0672303508985,0.250338669622,0.933119662668,-0.193919017074,-0.170333967404,-0.111015872368,-0.0551024050769,-0.00442242155453,-0.0604666085348,0.0783897464865,-0.169299268434,1.69344496727,-1.20645058155,3.71731901169,0.488650619984,0.541118502617,-0.610209465027,331129,1505743804,27000064,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",138442,1505743804,1120838,robotiq_force_torque_frame_id,2.17199999783,-1.78299999237,2.60000019073,-0.019999999553,-0.0120000001043,0.00400000018999,0
2017/09/18/22:10:04.027050,102631,1505743804,26651141,,837479,1505743804,26651141,,0.416943476038,-0.649527504809,0.067784186371,0.25074216905,0.932829208338,-0.194345426503,-0.170844630966,-0.115213286743,-0.0485372622459,-0.0133043108116,-0.0389414705116,0.101253496473,-0.143120866003,1.71419847012,-1.23729360104,3.80894160271,0.479464232922,0.587540507317,-0.606672286987,331129,1505743804,27000064,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",138444,1505743804,21791085,robotiq_force_torque_frame_id,1.77199990246,-1.41300010681,2.24999980927,-0.0120000001043,-0.0450000017881,0.0130000002682,0
2017/09/18/22:10:04.038365,102632,1505743804,36651480,,837480,1505743804,36651480,,0.416772259524,-0.650391961257,0.0677342724121,0.251422332196,0.932731165488,-0.194503756573,-0.170198920323,-0.10215904017,-0.0581029051182,-0.00862453122641,-0.0478474227741,0.0790818658472,-0.112689708831,0.850224673748,-0.905879855156,3.82402014732,0.406721055508,0.319904148579,-0.436591953039,331129,1505743804,27000064,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",138445,1505743804,34134651,robotiq_force_torque_frame_id,2.12200004552,-1.14300012589,2.56999950409,-0.0120000001043,-0.0599999986589,0.0010000000475,0
