time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/11/15/15:30:45.275345,173672,1510731062,438314529,
2017/11/15/15:30:45.312708,173674,1510731062,458317981,
2017/11/15/15:30:45.317358,173676,1510731062,478315937,
2017/11/15/15:31:04.752366,175618,1510731081,897763387,
2017/11/15/15:31:04.756325,175620,1510731081,917766898,
2017/11/15/15:31:04.792447,175622,1510731081,937773967,
2017/11/15/15:31:04.796303,175624,1510731081,957762216,
2017/11/15/15:31:24.219438,177564,1510731101,358054276,
2017/11/15/15:31:24.223512,177566,1510731101,378063710,
2017/11/15/15:31:24.227310,177568,1510731101,398055734,
2017/11/15/15:31:24.244811,177570,1510731101,418061614,
2017/11/15/15:31:24.291043,177572,1510731101,438057080,
2017/11/15/15:31:40.331160,179176,1510731117,477687681,
2017/11/15/15:31:40.334860,179178,1510731117,497695929,
2017/11/15/15:31:40.374091,179180,1510731117,517692383,
2017/11/15/15:31:40.378755,179182,1510731117,537698036,
2017/11/15/15:31:40.411875,179184,1510731117,557693038,
2017/11/15/15:31:59.903910,181134,1510731137,58147981,
2017/11/15/15:31:59.907782,181136,1510731137,78143370,
2017/11/15/15:31:59.944269,181138,1510731137,98161937,
2017/11/15/15:31:59.948180,181140,1510731137,118144298,
2017/11/15/15:31:59.991361,181142,1510731137,138146649,
2017/11/15/15:32:19.303408,183076,1510731156,477579472,
2017/11/15/15:32:19.323487,183078,1510731156,497580262,
2017/11/15/15:32:38.630356,185008,1510731175,797794584,
2017/11/15/15:32:38.664721,185010,1510731175,817799553,
2017/11/15/15:32:38.668896,185012,1510731175,837801179,
2017/11/15/15:32:38.683980,185014,1510731175,857802883,
2017/11/15/15:32:58.288678,186974,1510731195,458229717,
2017/11/15/15:32:58.325645,186976,1510731195,478234604,
2017/11/15/15:32:58.329698,186978,1510731195,498237681,
2017/11/15/15:33:17.682570,188914,1510731214,858491509,
2017/11/15/15:33:17.731367,188916,1510731214,878494547,
2017/11/15/15:33:17.736478,188918,1510731214,898492619,
2017/11/15/15:33:17.774849,188920,1510731214,918493097,
2017/11/15/15:33:37.176447,190862,1510731234,338395229,
2017/11/15/15:33:37.214834,190864,1510731234,358391885,
2017/11/15/15:33:37.218707,190866,1510731234,378390862,
2017/11/15/15:33:37.252094,190868,1510731234,398387644,
2017/11/15/15:33:37.256331,190870,1510731234,418389441,
