time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/11/15/15:12:14.786356,62632,1510729951,957633350,
2017/11/15/15:12:14.807453,62634,1510729951,977601073,
2017/11/15/15:12:34.050882,64556,1510729971,197700612,
2017/11/15/15:12:34.087444,64558,1510729971,217706208,
2017/11/15/15:12:34.092043,64560,1510729971,237701312,
2017/11/15/15:12:53.337752,66486,1510729990,498406172,
2017/11/15/15:12:53.347185,66488,1510729990,518400086,
2017/11/15/15:12:53.369067,66490,1510729990,538406466,
2017/11/15/15:13:12.788661,68428,1510730009,917831755,
2017/11/15/15:13:12.792510,68430,1510730009,937834687,
2017/11/15/15:13:12.797076,68432,1510730009,957832004,
2017/11/15/15:13:12.807979,68434,1510730009,977831601,
2017/11/15/15:13:12.856091,68436,1510730009,997837432,
2017/11/15/15:13:32.235652,70374,1510730029,378193013,
2017/11/15/15:13:32.239993,70376,1510730029,398196125,
2017/11/15/15:13:32.276681,70378,1510730029,418192433,
2017/11/15/15:13:32.281161,70380,1510730029,438191823,
2017/11/15/15:13:32.318158,70382,1510730029,458195595,
2017/11/15/15:13:51.749167,72324,1510730048,878445165,
2017/11/15/15:13:51.752732,72326,1510730048,898439899,
2017/11/15/15:13:51.787491,72328,1510730048,918439938,
2017/11/15/15:13:51.791662,72330,1510730048,938448285,
2017/11/15/15:13:51.829287,72332,1510730048,958445760,
2017/11/15/15:13:51.834010,72334,1510730048,978454663,
2017/11/15/15:14:11.268374,74276,1510730068,397962773,
2017/11/15/15:14:11.272198,74278,1510730068,417961946,
2017/11/15/15:14:11.309710,74280,1510730068,437963538,
2017/11/15/15:14:11.316400,74282,1510730068,457964162,
2017/11/15/15:14:11.318229,74284,1510730068,477965182,
2017/11/15/15:14:30.617028,76212,1510730087,757794287,
2017/11/15/15:14:30.620876,76214,1510730087,777799765,
2017/11/15/15:14:30.655896,76216,1510730087,797800739,
2017/11/15/15:14:30.660067,76218,1510730087,817798913,
2017/11/15/15:14:30.667534,76220,1510730087,837798405,
2017/11/15/15:14:30.688279,76222,1510730087,857797218,
2017/11/15/15:14:30.728088,76224,1510730087,877800861,
2017/11/15/15:14:50.089555,78158,1510730107,218281491,
2017/11/15/15:14:50.092055,78160,1510730107,238282011,
2017/11/15/15:14:50.129329,78162,1510730107,258281262,
2017/11/15/15:14:50.134408,78164,1510730107,278276685,
2017/11/15/15:14:50.169140,78166,1510730107,298278438,
2017/11/15/15:14:50.174032,78168,1510730107,318283077,
2017/11/15/15:15:09.708403,80122,1510730126,858015904,
2017/11/15/15:15:09.749194,80124,1510730126,878014501,
2017/11/15/15:15:09.753158,80126,1510730126,898011773,
2017/11/15/15:15:09.788908,80128,1510730126,918011439,
2017/11/15/15:15:09.793775,80130,1510730126,938011352,
